iter	Passed	Remaining
0	286	572275
1	372	372589
2	455	303298
3	553	276327
4	659	263191
5	768	255513
6	883	251598
7	982	244594
8	1107	244990
9	1214	241632
10	1332	240922
11	1447	239749
12	1554	237623
13	1664	236081
14	1773	234720
15	1885	233794
16	1994	232607
17	2100	231311
18	2214	230882
19	2319	229629
20	2432	229220
21	2551	229423
22	2653	228096
23	2760	227263
24	2865	226335
25	2966	225213
26	3075	224751
27	3178	223848
28	3282	223107
29	3388	222529
30	3501	222406
31	3634	223505
32	3760	224149
33	3875	224066
34	3971	222958
35	4080	222599
36	4190	222299
37	4284	221230
38	4375	220015
39	4456	218390
40	4548	217321
41	4654	216992
42	4742	215825
43	4840	215196
44	4924	213938
45	5010	212853
46	5105	212150
47	5189	211051
48	5271	209893
49	5363	209165
50	5443	208014
51	5519	206767
52	5614	206246
53	5723	206258
54	5843	206633
55	5945	206404
56	6053	206353
57	6160	206285
58	6265	206125
59	6370	205971
60	6469	205635
61	6577	205598
62	6679	205376
63	6756	204385
64	6865	204395
65	6956	203860
66	7041	203147
67	7132	202658
68	7211	201822
69	7288	200941
70	7387	200720
71	7469	200006
72	7547	199229
73	7637	198769
74	7712	197965
75	7802	197532
76	7899	197270
77	8004	197245
78	8086	196642
79	8176	196232
80	8253	195547
81	8337	195022
82	8428	194672
83	8511	194139
84	8593	193599
85	8690	193411
86	8769	192836
87	8857	192438
88	8947	192118
89	9038	191823
90	9149	191937
91	9258	192010
92	9342	191578
93	9418	190971
94	9509	190683
95	9597	190351
96	9682	189966
97	9774	189704
98	9861	189359
99	9944	188938
100	10042	188813
101	10135	188597
102	10236	188533
103	10327	188271
104	10407	187832
105	10509	187774
106	10597	187491
107	10677	187050
108	10768	186813
109	10858	186566
110	10964	186596
111	11122	187490
112	11232	187579
113	11341	187638
114	11421	187217
115	11498	186745
116	11595	186617
117	11677	186252
118	11764	185952
119	11849	185649
120	11929	185252
121	12027	185151
122	12134	185173
123	12230	185031
124	12331	184971
125	12457	185279
126	12555	185173
127	12660	185158
128	12760	185075
129	12856	184942
130	12970	185054
131	13067	184924
132	13175	184950
133	13278	184914
134	13362	184607
135	13450	184347
136	13552	184295
137	13639	184034
138	13713	183600
139	13803	183384
140	13886	183079
141	13969	182778
142	14057	182545
143	14140	182261
144	14224	181981
145	14314	181771
146	14392	181421
147	14468	181054
148	14573	181044
149	14674	180988
150	14753	180656
151	14845	180490
152	14922	180143
153	15009	179913
154	15108	179841
155	15195	179615
156	15279	179365
157	15370	179192
158	15453	178925
159	15538	178689
160	15625	178477
161	15732	178499
162	15809	178176
163	15904	178052
164	15990	177830
165	16089	177756
166	16196	177769
167	16285	177589
168	16370	177360
169	16468	177277
170	16549	177009
171	16632	176771
172	16720	176577
173	16824	176561
174	16906	176308
175	16996	176142
176	17078	175896
177	17157	175621
178	17247	175460
179	17330	175227
180	17404	174906
181	17491	174723
182	17577	174527
183	17658	174283
184	17745	174101
185	17826	173852
186	17929	173828
187	18045	173931
188	18145	173870
189	18250	173856
190	18354	173834
191	18455	173789
192	18570	173871
193	18675	173852
194	18775	173790
195	18882	173794
196	19001	173907
197	19118	173997
198	19219	173941
199	19329	173968
200	19432	173929
201	19527	173815
202	19644	173894
203	19754	173916
204	19869	173983
205	19982	174019
206	20105	174147
207	20215	174164
208	20320	174131
209	20422	174081
210	20523	174011
211	20624	173943
212	20724	173874
213	20823	173790
214	20937	173831
215	21054	173893
216	21161	173877
217	21288	174022
218	21384	173904
219	21484	173829
220	21584	173753
221	21688	173700
222	21785	173603
223	21881	173492
224	21992	173498
225	22094	173434
226	22193	173347
227	22315	173435
228	22423	173417
229	22502	173167
230	22597	173052
231	22679	172833
232	22756	172580
233	22848	172441
234	22940	172301
235	23023	172091
236	23112	171926
237	23189	171683
238	23274	171492
239	23368	171370
240	23459	171227
241	23555	171114
242	23642	170946
243	23721	170713
244	23800	170485
245	23885	170308
246	23973	170145
247	24057	169957
248	24145	169793
249	24224	169571
250	24316	169443
251	24413	169343
252	24514	169278
253	24621	169245
254	24704	169056
255	24795	168915
256	24879	168736
257	24993	168755
258	25101	168729
259	25182	168529
260	25268	168359
261	25367	168274
262	25448	168073
263	25544	167974
264	25662	168018
265	25759	167920
266	25837	167700
267	25947	167692
268	26044	167596
269	26141	167500
270	26257	167521
271	26350	167403
272	26431	167204
273	26520	167062
274	26603	166878
275	26705	166811
276	26802	166717
277	26890	166567
278	26983	166444
279	27083	166371
280	27199	166392
281	27297	166302
282	27382	166135
283	27471	165990
284	27552	165798
285	27636	165622
286	27725	165484
287	27819	165373
288	27917	165281
289	28011	165172
290	28089	164966
291	28168	164766
292	28280	164758
293	28378	164671
294	28472	164561
295	28582	164541
296	28674	164421
297	28769	164313
298	28853	164147
299	28965	164138
300	29080	164147
301	29181	164074
302	29267	163915
303	29356	163779
304	29433	163572
305	29517	163409
306	29606	163270
307	29687	163088
308	29771	162923
309	29860	162786
310	29948	162645
311	30052	162592
312	30147	162486
313	30236	162355
314	30340	162299
315	30450	162272
316	30531	162098
317	30615	161933
318	30729	161929
319	30821	161812
320	30921	161733
321	31017	161636
322	31097	161458
323	31192	161351
324	31285	161238
325	31370	161086
326	31448	160895
327	31541	160784
328	31626	160633
329	31707	160460
330	31806	160377
331	31895	160247
332	31981	160101
333	32072	159977
334	32152	159804
335	32258	159757
336	32359	159685
337	32447	159547
338	32535	159412
339	32634	159332
340	32726	159219
341	32812	159075
342	32914	159005
343	33018	158949
344	33121	158886
345	33227	158838
346	33349	158864
347	33459	158838
348	33563	158776
349	33673	158748
350	33773	158669
351	33893	158684
352	33997	158623
353	34095	158535
354	34202	158485
355	34302	158408
356	34414	158383
357	34533	158391
358	34633	158309
359	34736	158244
360	34845	158202
361	34958	158181
362	35059	158103
363	35167	158061
364	35262	157958
365	35348	157812
366	35430	157650
367	35542	157621
368	35647	157565
369	35732	157417
370	35821	157286
371	35912	157166
372	35996	157016
373	36076	156847
374	36168	156730
375	36252	156578
376	36336	156429
377	36424	156299
378	36504	156133
379	36582	155958
380	36689	155907
381	36783	155799
382	36865	155643
383	36954	155517
384	37037	155366
385	37116	155198
386	37202	155057
387	37277	154873
388	37357	154710
389	37450	154604
390	37531	154446
391	37608	154273
392	37703	154173
393	37795	154059
394	37893	153970
395	37985	153859
396	38064	153694
397	38153	153571
398	38240	153441
399	38314	153259
400	38401	153127
401	38483	152975
402	38562	152814
403	38645	152670
404	38727	152518
405	38807	152363
406	38912	152302
407	38998	152171
408	39078	152013
409	39168	151896
410	39255	151769
411	39339	151630
412	39428	151507
413	39506	151346
414	39591	151209
415	39679	151087
416	39760	150938
417	39843	150793
418	39943	150715
419	40051	150671
420	40130	150512
421	40215	150380
422	40292	150217
423	40370	150056
424	40459	149938
425	40543	149803
426	40625	149658
427	40717	149552
428	40789	149372
429	40883	149273
430	40975	149164
431	41063	149043
432	41158	148949
433	41252	148849
434	41330	148696
435	41408	148537
436	41502	148438
437	41576	148271
438	41653	148112
439	41743	148001
440	41823	147853
441	41919	147762
442	42016	147674
443	42097	147529
444	42194	147443
445	42286	147338
446	42366	147193
447	42443	147037
448	42531	146917
449	42609	146765
450	42691	146629
451	42782	146521
452	42867	146392
453	42947	146250
454	43043	146159
455	43125	146023
456	43208	145886
457	43313	145827
458	43398	145701
459	43480	145566
460	43590	145523
461	43674	145393
462	43751	145238
463	43882	145265
464	43960	145115
465	44036	144962
466	44124	144844
467	44203	144699
468	44279	144544
469	44378	144465
470	44469	144361
471	44553	144233
472	44643	144122
473	44723	143984
474	44801	143837
475	44885	143710
476	44966	143572
477	45050	143446
478	45138	143329
479	45223	143208
480	45303	143069
481	45391	142955
482	45486	142863
483	45584	142780
484	45669	142659
485	45752	142529
486	45835	142399
487	45931	142311
488	46011	142174
489	46087	142023
490	46173	141906
491	46255	141773
492	46330	141623
493	46416	141504
494	46496	141366
495	46594	141286
496	46694	141211
497	46777	141084
498	46860	140956
499	46947	140841
500	47023	140693
501	47099	140549
502	47188	140438
503	47260	140279
504	47339	140142
505	47423	140021
506	47509	139905
507	47590	139773
508	47687	139690
509	47782	139600
510	47865	139473
511	47958	139379
512	48038	139245
513	48121	139121
514	48207	139005
515	48287	138873
516	48365	138734
517	48459	138642
518	48543	138522
519	48621	138385
520	48711	138279
521	48808	138196
522	48900	138098
523	48990	137995
524	49074	137876
525	49160	137760
526	49248	137653
527	49329	137523
528	49409	137394
529	49496	137283
530	49579	137160
531	49664	137042
532	49748	136923
533	49833	136809
534	49936	136740
535	50022	136629
536	50099	136490
537	50179	136361
538	50262	136240
539	50339	136103
540	50422	135981
541	50515	135889
542	50596	135761
543	50681	135647
544	50772	135549
545	50859	135439
546	50942	135318
547	51049	135262
548	51133	135145
549	51216	135026
550	51301	134909
551	51384	134791
552	51462	134658
553	51553	134560
554	51634	134436
555	51713	134305
556	51802	134201
557	51882	134076
558	51962	133950
559	52051	133847
560	52159	133791
561	52243	133676
562	52327	133560
563	52407	133435
564	52501	133345
565	52589	133240
566	52734	133278
567	52827	133184
568	52909	133063
569	52982	132921
570	53072	132819
571	53161	132717
572	53263	132647
573	53353	132547
574	53438	132434
575	53520	132314
576	53611	132216
577	53690	132090
578	53774	131975
579	53871	131892
580	53954	131776
581	54035	131654
582	54130	131564
583	54212	131447
584	54297	131336
585	54410	131291
586	54491	131168
587	54571	131046
588	54659	130941
589	54743	130827
590	54834	130730
591	54922	130625
592	54995	130487
593	55075	130362
594	55169	130273
595	55246	130144
596	55324	130016
597	55422	129937
598	55522	129861
599	55609	129755
600	55697	129652
601	55773	129519
602	55852	129396
603	55941	129295
604	56019	129168
605	56098	129044
606	56183	128935
607	56261	128810
608	56343	128693
609	56435	128599
610	56526	128502
611	56611	128392
612	56701	128296
613	56778	128167
614	56862	128055
615	56950	127953
616	57026	127824
617	57108	127708
618	57199	127613
619	57279	127493
620	57362	127380
621	57453	127284
622	57532	127163
623	57624	127068
624	57728	127002
625	57814	126895
626	57891	126770
627	57979	126669
628	58061	126553
629	58144	126441
630	58233	126342
631	58313	126222
632	58392	126102
633	58485	126010
634	58567	125896
635	58649	125782
636	58752	125714
637	58845	125623
638	58932	125519
639	59021	125421
640	59099	125298
641	59185	125193
642	59272	125090
643	59354	124975
644	59436	124862
645	59528	124769
646	59609	124655
647	59691	124540
648	59777	124437
649	59891	124389
650	59987	124306
651	60082	124219
652	60166	124110
653	60242	123985
654	60336	123897
655	60418	123783
656	60500	123672
657	60587	123569
658	60670	123457
659	60754	123350
660	60852	123269
661	60947	123183
662	61038	123089
663	61130	122997
664	61212	122886
665	61292	122768
666	61382	122673
667	61467	122567
668	61542	122441
669	61631	122342
670	61714	122232
671	61801	122131
